,tourney_year,tourney_name,tourney_location,tourney_dates,tourney_conditions,tourney_surface,player_ranking,opponent_name,match_win_loss,match_score
0,1998,Basel,"Basel, Switzerland",1998.10.05 - 1998.10.11,Indoor,Hard,396,Andre Agassi,L,36 26
1,1998,Toulouse,"Toulouse, France",1998.09.28 - 1998.10.04,Indoor,Hard,878,Jan Siemerink,L,67(5) 26
2,1998,Toulouse,"Toulouse, France",1998.09.28 - 1998.10.04,Indoor,Hard,878,Richard Fromberg,W,61 76(5) 
3,1998,Toulouse,"Toulouse, France",1998.09.28 - 1998.10.04,Indoor,Hard,878,Guillaume Raoux,W,62 62
4,1998,Geneva,"Geneva, Switzerland",1998.08.24 - 1998.08.30,Outdoor,Clay,680,Orlin Stanoytchev,L,46 67
5,1998,Gstaad,"Gstaad, Switzerland",1998.07.06 - 1998.07.12,Outdoor,Clay,702,Lucas Arnold Ker,L,46 46
6,1999,Brest,"Brest, France",1999.10.25 - 1999.10.31,Indoor,Hard,66,Max Mirnyi,W,76(4) 63
7,1999,Brest,"Brest, France",1999.10.25 - 1999.10.31,Indoor,Hard,66,Martin Damm,W,63 76(4) 
8,1999,Brest,"Brest, France",1999.10.25 - 1999.10.31,Indoor,Hard,66,Michael Llodra,W,63 63
9,1999,Brest,"Brest, France",1999.10.25 - 1999.10.31,Indoor,Hard,66,Rodolphe Gilbert,W,64 63
10,1999,Brest,"Brest, France",1999.10.25 - 1999.10.31,Indoor,Hard,66,Lionel Roux,W,63 46 64
11,1999,Lyon,"Lyon, France",1999.10.18 - 1999.10.24,Indoor,Carpet,67,Lleyton Hewitt,L,67(4) 62 46
12,1999,Lyon,"Lyon, France",1999.10.18 - 1999.10.24,Indoor,Carpet,67,Daniel Vacek,W,63 64
13,1999,Vienna,"Vienna, Austria",1999.10.11 - 1999.10.17,Indoor,Hard,93,Greg Rusedski,L,36 46
14,1999,Vienna,"Vienna, Austria",1999.10.11 - 1999.10.17,Indoor,Hard,93,Karol Kucera,W,26 64 61
15,1999,Vienna,"Vienna, Austria",1999.10.11 - 1999.10.17,Indoor,Hard,93,Jiri Novak,W,76(8) 61
16,1999,Vienna,"Vienna, Austria",1999.10.11 - 1999.10.17,Indoor,Hard,93,Vincent Spadea,W,64 62
17,1999,Basel,"Basel, Switzerland",1999.10.04 - 1999.10.10,Indoor,Carpet,106,Tim Henman,L,36 57
18,1999,Basel,"Basel, Switzerland",1999.10.04 - 1999.10.10,Indoor,Carpet,106,Alexander Popp,W,62 75
19,1999,Basel,"Basel, Switzerland",1999.10.04 - 1999.10.10,Indoor,Carpet,106,Martin Damm,W,62 36 64
20,1999,Toulouse,"Toulouse, France",1999.09.27 - 1999.10.03,Indoor,Hard,96,Fabrice Santoro,L,36 67(3) 
21,1999,Toulouse,"Toulouse, France",1999.09.27 - 1999.10.03,Indoor,Hard,96,Rainer Schuettler,W,76(4) 61
22,1999,Tashkent,"Tashkent, Uzbekistan",1999.09.13 - 1999.09.19,Outdoor,Hard,104,Peter Wessels,L,64 67(1) 46
23,1999,Tashkent,"Tashkent, Uzbekistan",1999.09.13 - 1999.09.19,Outdoor,Hard,104,Cedric Pioline,W,64 63
24,1999,Washington,"Washington, DC, U.S.A.",1999.08.16 - 1999.08.22,Outdoor,Hard,104,Bjorn Phau,L,26 36
25,1999,Segovia,"Segovia, Spain",1999.08.02 - 1999.08.08,Outdoor,Hard,106,Nicolas Escude,L,63 16 46
26,1999,Segovia,"Segovia, Spain",1999.08.02 - 1999.08.08,Outdoor,Hard,106,Joaquin Munoz-Hernandez,W,76(5) 64
27,1999,SUI V BEL QF,"Brussels, Belgium",1999.07.12 - 1999.07.18,Outdoor,Clay,109,Xavier Malisse,L,64 36 57 67(5) 
28,1999,SUI V BEL QF,"Brussels, Belgium",1999.07.12 - 1999.07.18,Outdoor,Clay,109,Christophe Van Garsse,L,67(4) 63 61 57 16
29,1999,Gstaad,"Gstaad, Switzerland",1999.07.05 - 1999.07.11,Outdoor,Clay,107,Younes El Aynaoui,L,26 36
30,1999,Wimbledon,"London, England",1999.06.21 - 1999.07.04,Outdoor,Grass,103,Jiri Novak,L,36 63 64 36 46
31,1999,London / Queen's Club,"London, Great Britain",1999.06.07 - 1999.06.13,Outdoor,Grass,104,Byron Black,L,36 06
32,1999,Surbiton,"Surbiton, England",1999.05.31 - 1999.06.06,Outdoor,Grass,111,Sargis Sargsian,L,76 36 67
33,1999,Surbiton,"Surbiton, England",1999.05.31 - 1999.06.06,Outdoor,Grass,111,Alex O'Brien,W,61 64
34,1999,Surbiton,"Surbiton, England",1999.05.31 - 1999.06.06,Outdoor,Grass,111,John van Lottum,W,63 36 61
35,1999,Surbiton,"Surbiton, England",1999.05.31 - 1999.06.06,Outdoor,Grass,111,Maurice Ruah,W,76 62
36,1999,Roland Garros,"Paris, France",1999.05.24 - 1999.06.06,Outdoor,Clay,111,Patrick Rafter,L,75 36 06 26
37,1999,Ljubljana,"Ljubljana, Slovenia",1999.05.03 - 1999.05.09,Outdoor,Clay,123,Dinu Pescariu,L,67 26
38,1999,Ljubljana,"Ljubljana, Slovenia",1999.05.03 - 1999.05.09,Outdoor,Clay,123,Juan Albert Viloca-Puig,W,26 63 64
39,1999,Ljubljana,"Ljubljana, Slovenia",1999.05.03 - 1999.05.09,Outdoor,Clay,123,Radomir Vasek,W,76 61
40,1999,Ljubljana,"Ljubljana, Slovenia",1999.05.03 - 1999.05.09,Outdoor,Clay,123,Eduardo Medica,W,63 62
41,1999,Espinho,"Espinho, Portugal",1999.04.26 - 1999.05.02,Outdoor,Clay,124,Juan Balcells,L,67 36
42,1999,ATP Masters Series Monte Carlo,"Monte Carlo, Monaco",1999.04.19 - 1999.04.25,Outdoor,Clay,128,Vincent Spadea,L,67(3) 06
43,1999,ITA V SUI 1RD,Switzerland,1999.03.29 - 1999.04.04,Indoor,Carpet,123,Gianluca Pozzi,L,46 67(4) 
44,1999,ITA V SUI 1RD,Switzerland,1999.03.29 - 1999.04.04,Indoor,Carpet,123,Davide Sanguinetti,W,64 67(3) 63 64
45,1999,ATP Masters Series Miami,"Miami, FL, U.S.A.",1999.03.15 - 1999.03.28,Outdoor,Hard,125,Kenneth Carlsen,L,57 67(4) 
46,1999,Grenoble,"Grenoble, France",1999.03.01 - 1999.03.07,Indoor,Hard,129,Julien Boutter,L,64 26 36
47,1999,Grenoble,"Grenoble, France",1999.03.01 - 1999.03.07,Indoor,Hard,129,Rodolphe Gilbert,W,62 60
48,1999,Rotterdam,"Rotterdam, Netherlands",1999.02.15 - 1999.02.21,Indoor,Carpet,178,Yevgeny Kafelnikov,L,16 75 46
49,1999,Rotterdam,"Rotterdam, Netherlands",1999.02.15 - 1999.02.21,Indoor,Carpet,178,Bohdan Ulihrach,W,64 75
50,1999,Rotterdam,"Rotterdam, Netherlands",1999.02.15 - 1999.02.21,Indoor,Carpet,178,Guillaume Raoux,W,67(4) 75 76(3) 
51,1999,Marseille,"Marseille, France",1999.02.01 - 1999.02.07,Indoor,Hard,243,Arnaud Clement,L,36 36
52,1999,Marseille,"Marseille, France",1999.02.01 - 1999.02.07,Indoor,Hard,243,Jerome Golmard,W,67(6) 76(5) 76(5) 
53,1999,Marseille,"Marseille, France",1999.02.01 - 1999.02.07,Indoor,Hard,243,Carlos Moya,W,76(1) 36 63
54,1999,Heilbronn,"Heilbronn, Germany",1999.01.25 - 1999.01.31,Indoor,Carpet,298,Laurence Tieleman,L,57 16
55,1999,Heilbronn,"Heilbronn, Germany",1999.01.25 - 1999.01.31,Indoor,Carpet,298,Justin Gimelstob,W,67 76 75
56,1999,Heilbronn,"Heilbronn, Germany",1999.01.25 - 1999.01.31,Indoor,Carpet,298,John van Lottum,W,62 64
57,1999,Heilbronn,"Heilbronn, Germany",1999.01.25 - 1999.01.31,Indoor,Carpet,298,Cristiano Caratti,W,75 64
58,2000,Stockholm,"Stockholm, Sweden",2000.11.20 - 2000.11.26,Indoor,Hard,29,Andreas Vinciguerra,L,57 67(3) 
59,2000,Stockholm,"Stockholm, Sweden",2000.11.20 - 2000.11.26,Indoor,Hard,29,Mikhail Youzhny,W,57 64 63
60,2000,ATP World Tour Masters 1000 Paris,"Paris, France",2000.11.13 - 2000.11.19,Indoor,Hard,24,Dominik Hrbaty,L,64 26 26
61,2000,Lyon,"Lyon, France",2000.11.06 - 2000.11.12,Indoor,Carpet,24,Karol Kucera,L,63 26 16
62,2000,Lyon,"Lyon, France",2000.11.06 - 2000.11.12,Indoor,Carpet,24,Nicolas Escude,W,63 76(3) 
63,2000,ATP Masters Series Stuttgart,"Stuttgart, Germany",2000.10.30 - 2000.11.05,Indoor,Hard,25,Yevgeny Kafelnikov,L,57 36
64,2000,ATP Masters Series Stuttgart,"Stuttgart, Germany",2000.10.30 - 2000.11.05,Indoor,Hard,25,Jan-Michael Gambill,W,76(3) 10 (RET)
65,2000,Basel,"Basel, Switzerland",2000.10.23 - 2000.10.29,Indoor,Carpet,34,Thomas Enqvist,L,26 64 67(4) 61 16
66,2000,Basel,"Basel, Switzerland",2000.10.23 - 2000.10.29,Indoor,Carpet,34,Lleyton Hewitt,W,64 57 76(6) 
67,2000,Basel,"Basel, Switzerland",2000.10.23 - 2000.10.29,Indoor,Carpet,34,Nicolas Thomann,W,64 64
68,2000,Basel,"Basel, Switzerland",2000.10.23 - 2000.10.29,Indoor,Carpet,34,Andrei Pavel,W,76(4) 64
69,2000,Basel,"Basel, Switzerland",2000.10.23 - 2000.10.29,Indoor,Carpet,34,Tommy Haas,W,63 63
70,2000,Vienna,"Vienna, Austria",2000.10.09 - 2000.10.15,Indoor,Hard,31,Tim Henman,L,62 67(4) 36
71,2000,Vienna,"Vienna, Austria",2000.10.09 - 2000.10.15,Indoor,Hard,31,Richard Krajicek,W,64 63
72,2000,Vienna,"Vienna, Austria",2000.10.09 - 2000.10.15,Indoor,Hard,31,Max Mirnyi,W,63 63
73,2000,Vienna,"Vienna, Austria",2000.10.09 - 2000.10.15,Indoor,Hard,31,Magnus Norman,W,46 76(4) 64
74,2000,Sydney Olympics,"Sydney, Australia",2000.09.18 - 2000.10.01,Outdoor,Hard,36,Arnaud Di Pasquale,L,67(5) 76(7) 36
75,2000,Sydney Olympics,"Sydney, Australia",2000.09.18 - 2000.10.01,Outdoor,Hard,36,Tommy Haas,L,36 26
76,2000,Sydney Olympics,"Sydney, Australia",2000.09.18 - 2000.10.01,Outdoor,Hard,36,Karim Alami,W,76(2) 61
77,2000,Sydney Olympics,"Sydney, Australia",2000.09.18 - 2000.10.01,Outdoor,Hard,36,Mikael Tillstrom,W,61 62
78,2000,Sydney Olympics,"Sydney, Australia",2000.09.18 - 2000.10.01,Outdoor,Hard,36,Karol Kucera,W,64 76(5) 
79,2000,Sydney Olympics,"Sydney, Australia",2000.09.18 - 2000.10.01,Outdoor,Hard,36,David Prinosil,W,62 62
80,2000,US Open,"New York, NY, U.S.A.",2000.08.28 - 2000.09.10,Outdoor,Hard,40,Juan Carlos Ferrero,L,57 67(6) 61 67(6) 
81,2000,US Open,"New York, NY, U.S.A.",2000.08.28 - 2000.09.10,Outdoor,Hard,40,Daniel Nestor,W,61 76(5) 61
82,2000,US Open,"New York, NY, U.S.A.",2000.08.28 - 2000.09.10,Outdoor,Hard,40,Peter Wessels,W,46 46 63 75 34 (RET)
83,2000,Indianapolis,"Indianapolis, IN, U.S.A.",2000.08.14 - 2000.08.20,Outdoor,Hard,40,James Sekulov,L,46 57
84,2000,ATP Masters Series Cincinnati,"Cincinnati, OH, U.S.A.",2000.08.07 - 2000.08.13,Outdoor,Hard,39,Francisco Clavet,L,67(3) 67(4) 
85,2000,ATP Masters Series Canada,"Toronto, Canada",2000.07.31 - 2000.08.06,Outdoor,Hard,38,Lleyton Hewitt,L,63 36 26
86,2000,SUI v BLR WGPO,"St.Gallen, Switz.",2000.07.17 - 2000.07.23,Indoor,Carpet,39,Vladimir Voltchkov,W,46 75 76(1) 57 62
87,2000,Gstaad,"Gstaad, Switzerland",2000.07.10 - 2000.07.16,Outdoor,Clay,39,Alex Corretja,L,46 64 46
88,2000,Wimbledon,"London, England",2000.06.26 - 2000.07.09,Outdoor,Grass,35,Yevgeny Kafelnikov,L,57 57 67(6) 
